State,2010 Population,2011 Population,2012 Population ,2013 Population,2014 Population,2015 Population,2016 Population,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population,2022 Population,2020 COVID19 Deaths,2021 COVID19 Deaths,2022 COVID19 Deaths ,2020 COVID19 Death Rate %,2021 COVID19 Death Rate %,2022 COVID19 Death Rate %,2020 COVIDLike Deaths,2021 COVIDLike Deaths,2022 COVIDLike Deaths,2020 COVIDLike Death Rate %,2021 COVIDLike Death Rate %,2022 COVIDLike Death Rate %,2011 Obesity Rate %,2012 Obesity Rate %,2013 Obesity Rate %,2014 Obesity Rate %,2015 Obesity Rate %,2016 Obesity Rate %,2017 Obesity Rate %,2018 Obesity Rate %,2019 Obesity Rate %,2020 Obesity Rate %,2021 Obesity Rate %,2022 Obesity Rate %,Latitude,Longitude
Alabama,4779736,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,5024279,5039877,5074296,6706,9719,4152,0.1,0.2,0.1,9870,12496,6785,0.2,0.2,0.1,32,33,32.4,33.5,35.63,35.7,36.33,36.24,36.12,39.01,39.86,36.1,32.84057112,-86.63186076
Alaska,710231,722128,730443,737068,736283,737498,741456,739700,735139,731545,733391,732673,733583,254,839,320,0,0.1,0,434,1005,521,0.1,0.1,0.1,27.4,25.7,28.4,29.7,29.83,31.39,34.18,29.53,30.5,31.87,33.47,30.5,64.84507996,-147.722059
Arizona,6392017,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717,7151502,7276316,7359197,9321,14060,5814,0.1,0.2,0.1,13237,17518,9188,0.2,0.2,0.1,25.1,26,26.8,28.9,28.42,29.01,29.46,29.49,31.4,30.89,31.31,31.4,34.86597028,-111.7638113
Arkansas,2915918,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,3011524,3025891,3045637,4027,5336,2734,0.1,0.2,0.1,6215,7264,4768,0.2,0.2,0.2,30.9,34.5,34.6,35.9,34.49,35.68,35.04,37.12,37.41,36.43,38.65,37.4,34.74865012,-92.27449074
California,37253956,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223,39538223,39237836,39029342,33578,48327,21666,0.1,0.1,0.1,52630,64106,38012,0.1,0.2,0.1,23.8,25,24.1,24.7,24.18,25,25.12,25.83,26.15,30.25,27.58,26.3,37.63864012,-120.9999995
Colorado,5029196,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736,5773714,5812069,5839926,5073,6207,3336,0.1,0.1,0.1,7297,7983,5495,0.1,0.1,0.1,20.7,20.5,21.3,21.3,20.2,22.27,22.64,22.95,23.78,24.16,25.11,23.8,38.84384076,-106.1336109
Connecticut,3574097,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287,3605944,3605597,3626205,6298,3153,2507,0.2,0.1,0.1,7977,4582,4460,0.2,0.1,0.1,24.5,25.6,25,26.3,25.26,25.98,26.87,27.42,29.11,29.19,30.38,29.1,41.56266102,-72.64984095
Delaware,897934,907381,915179,923576,932487,941252,948921,956823,965479,973764,989948,1003384,1018396,1096,1266,853,0.1,0.1,0.1,1577,1695,1375,0.2,0.2,0.1,28.8,26.9,31.1,30.7,29.67,30.7,31.8,33.51,34.35,36.53,33.89,34.4,39.00883067,-75.57774117
District of Columbia,601723,619800,634924,650581,662328,675400,685815,694906,701547,705749,689545,670050,671803,1004,707,427,0.1,0.1,0.1,1429,1058,773,0.2,0.2,0.1,23.8,21.9,22.9,21.7,22.14,22.58,22.88,24.69,23.77,24.28,24.67,27,38.89037139,-77.03196113
Florida,18801310,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737,21538187,21781128,22244823,21827,38874,16724,0.1,0.2,0.1,35229,51305,29369,0.2,0.2,0.1,26.6,25.2,26.4,26.2,26.8,27.44,28.43,30.67,27.04,28.41,28,33.1,28.93204038,-81.92896054
Georgia,9687653,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423,10711908,10799566,10912876,10454,17309,7051,0.1,0.2,0.1,15137,21442,11127,0.1,0.2,0.1,28,29.1,30.3,30.5,30.68,31.42,31.63,32.46,33.09,34.25,33.92,25,32.83968109,-83.62758035
Hawaii,1360301,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872,1455271,1441553,1440196,365,744,610,0,0.1,0,1045,1398,1354,0.1,0.1,0.1,21.9,23.6,21.8,22.1,22.69,23.83,23.78,24.92,25,24.51,24.99,29.5,21.30485044,-157.8577494
Idaho,1567582,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065,1839106,1900923,1939033,1541,2785,1070,0.1,0.1,0.1,2161,3337,1687,0.1,0.2,0.1,27.1,26.8,29.6,28.9,28.59,27.38,29.33,28.36,29.45,31.11,31.56,31.6,43.68263001,-114.36373
Illinois,12830632,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821,12812508,12671469,12582032,16721,11787,8622,0.1,0.1,0.1,23335,16959,14125,0.2,0.1,0.1,27.1,28.1,29.4,29.3,30.79,31.62,31.12,31.75,31.61,32.41,34.15,35.3,40.48501028,-88.99771018
Indiana,6483802,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219,6785528,6805985,6833037,9775,10054,5902,0.1,0.1,0.1,14280,13572,9636,0.2,0.2,0.1,30.8,31.4,31.8,32.7,31.27,32.46,33.58,34.07,35.3,36.76,36.29,33.9,39.76691045,-86.14996019
Iowa,3046355,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070,3190369,3193079,3200517,4769,3526,2215,0.1,0.1,0.1,6633,5045,3827,0.2,0.2,0.1,29,30.4,31.3,30.9,32.13,31.97,36.38,35.32,33.93,36.49,36.39,35.2,42.46940091,-93.81649056
Kansas,2853118,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,2913314,2937880,2934582,2937150,3510,3806,2366,0.1,0.1,0.1,5071,5125,3745,0.2,0.2,0.1,29.6,29.9,30,31.3,34.2,31.16,32.35,34.39,35.2,35.27,36.03,36.5,38.3477403,-98.20078123
Kentucky,4339367,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,4467673,4505836,4509394,4512310,4619,8694,5616,0.1,0.2,0.1,8524,12154,9251,0.2,0.3,0.2,30.4,31.3,33.2,31.6,34.58,34.16,34.27,36.62,36.45,36.57,40.33,35.9,37.64597027,-84.77497105
Louisiana,4533372,4575625,4600972,4624527,4644013,4664628,4678135,4670560,4659690,4648794,4657757,4624047,4590241,7066,6918,2978,0.2,0.1,0.1,9352,8832,4527,0.2,0.2,0.1,33.4,34.7,33.1,34.9,36.2,35.53,36.22,36.76,35.91,38.13,38.64,31.7,31.31266064,-92.44568007
Maine,1328361,1328284,1327729,1328009,1330513,1328262,1331317,1334612,1339057,1344212,1362359,1372247,1385340,465,1433,1044,0,0.1,0.1,1417,2288,2005,0.1,0.2,0.1,27.8,28.4,28.9,28.2,30.01,29.92,29.13,30.35,31.68,31.01,31.87,32.3,45.25422889,-68.98503134
Maryland,5773552,5839419,5886992,5923188,5957283,5985562,6003323,6023868,6035802,6045680,6177224,6165129,6164660,6729,6101,4257,0.1,0.1,0.1,10136,9008,7226,0.2,0.1,0.1,28.3,27.6,28.3,29.6,28.89,29.92,31.3,30.94,32.25,30.98,34.34,25.2,39.29058096,-76.60926011
Massachusetts,6547629,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,6892503,7029917,6984723,6981974,10221,5578,4276,0.1,0.1,0.1,14227,8534,7487,0.2,0.1,0.1,22.7,22.9,23.6,23.3,24.26,23.58,25.85,25.69,25.15,24.43,27.37,36,42.27687047,-72.08269068
Michigan,9883640,9882412,9897145,9913065,9929848,9931715,9950571,9973114,9984072,9986857,10077331,10050811,10034113,12342,14945,7746,0.1,0.1,0.1,18113,19693,12253,0.2,0.2,0.1,31.3,31.1,31.5,30.7,31.16,32.47,32.27,32.98,35.97,35.21,34.36,30.1,44.66131954,-84.71439027
Minnesota,5303925,5346143,5376643,5413479,5451079,5482032,5522744,5566230,5606249,5639632,5706494,5707390,5717184,5834,5181,3309,0.1,0.1,0.1,8574,7413,5742,0.2,0.1,0.1,25.7,25.7,25.5,27.6,26.13,27.78,28.44,30.06,30.14,30.74,32.39,40.8,46.35564874,-94.7942005
Mississippi,2967297,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149,2961279,2949965,2940057,5162,5907,3162,0.2,0.2,0.1,7599,8118,5468,0.3,0.3,0.2,34.9,34.6,35.1,35.5,35.6,37.26,37.27,39.47,40.84,39.67,39.1,34.8,32.7455101,-89.53803083
Missouri,5988927,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428,6154913,6168187,6177957,8059,8946,5317,0.1,0.1,0.1,11656,12036,8656,0.2,0.2,0.1,30.3,29.6,30.4,30.2,32.36,31.66,32.46,35.03,34.77,34.02,37.25,28.3,38.63579078,-92.56630005
Montana,989415,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778,1084225,1104271,1122867,1269,1816,723,0.1,0.2,0.1,1782,2294,1238,0.2,0.2,0.1,24.6,24.3,24.6,26.4,23.58,25.48,25.27,26.85,28.33,28.53,31.78,34.1,47.06652897,-109.4244206
Nebraska,1826341,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408,1961504,1963692,1967923,2253,1939,1245,0.1,0.1,0.1,3355,2941,2166,0.2,0.1,0.1,28.4,28.6,29.6,30.2,31.39,31.99,32.76,34.12,34.14,34.01,35.94,30.6,41.64104099,-99.36572062
Nevada,2700551,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156,3104614,3143991,3177772,3527,5645,2667,0.1,0.2,0.1,5227,7143,4520,0.2,0.2,0.1,24.5,26.2,26.2,27.7,26.72,25.8,26.67,29.48,30.58,28.71,31.33,31.8,39.49324039,-117.0718406
New Hampshire,1316470,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711,1377529,1388992,1395231,828,1204,807,0.1,0.1,0.1,1472,1719,1386,0.1,0.1,0.1,26.5,27.3,26.7,27.4,26.33,26.57,28.06,29.6,31.75,29.92,30.63,27.3,43.65595011,-71.50036092
New Jersey,8791894,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190,9288994,9267130,9261699,18164,9605,6482,0.2,0.1,0.1,22754,13112,9898,0.2,0.1,0.1,23.7,24.6,26.3,26.9,25.58,27.35,27.25,25.65,26,27.66,28.2,31.7,40.13057005,-74.27369129
New Mexico,2059179,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,2096829,2117522,2115877,2113344,2886,3704,1908,0.1,0.2,0.1,4029,4696,2951,0.2,0.2,0.1,26.3,27.1,26.4,28.4,28.83,28.34,28.38,32.32,31.73,30.88,34.56,27.1,34.52088095,-106.240581
New York,19378102,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561,20201249,19835913,19677151,16195,14799,8974,0.1,0.1,0,24159,21623,16177,0.1,0.1,0.1,24.5,23.6,25.4,27,25.02,25.52,25.74,27.64,27.09,26.34,29.11,34,42.82700103,-75.54397043
North Carolina,9535483,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084,10439388,10551162,10698973,8789,15234,8190,0.1,0.1,0.1,14645,20521,13823,0.1,0.2,0.1,29.1,29.6,29.4,29.7,30.08,31.82,32.14,32.95,33.98,33.55,36.03,34.8,35.46622098,-79.15925046
North Dakota,672591,685225,701176,722036,737401,754066,754434,754942,758080,762062,779094,774948,779261,1513,939,533,0.2,0.1,0.1,2061,1457,987,0.3,0.2,0.1,27.8,29.7,31,32.2,30.99,31.93,33.15,35.1,34.81,33.09,35.21,34.8,47.47531978,-100.118421
