State,2020 Population,2021 Population,2022 Population
Alabama,5024279,5039877,5074296
Alaska,733391,732673,733583
Arizona,7151502,7276316,7359197
Arkansas,3011524,3025891,3045637
California,39538223,39237836,39029342
Colorado,5773714,5812069,5839926
Connecticut,3605944,3605597,3626205
Delaware,989948,1003384,1018396
District of Columbia,689545,670050,671803
Florida,21538187,21781128,22244823
Georgia,10711908,10799566,10912876
Hawaii,1455271,1441553,1440196
Idaho,1839106,1900923,1939033
Illinois,12812508,12671469,12582032
Indiana,6785528,6805985,6833037
Iowa,3190369,3193079,3200517
Kansas,2937880,2934582,2937150
Kentucky,4505836,4509394,4512310
Louisiana,4657757,4624047,4590241
Maine,1362359,1372247,1385340
Maryland,6177224,6165129,6164660
Massachusetts,7029917,6984723,6981974
Michigan,10077331,10050811,10034113
Minnesota,5706494,5707390,5717184
Mississippi,2961279,2949965,2940057
Missouri,6154913,6168187,6177957
Montana,1084225,1104271,1122867
Nebraska,1961504,1963692,1967923
Nevada,3104614,3143991,3177772
New Hampshire,1377529,1388992,1395231
New Jersey,9288994,9267130,9261699
New Mexico,2117522,2115877,2113344
New York,20201249,19835913,19677151
North Carolina,10439388,10551162,10698973
North Dakota,779094,774948,779261
Ohio,11799448,11780017,11756058
Oklahoma,3959353,3986639,4019800
Oregon,4237256,4246155,4240137
Pennsylvania,13002700,12964056,12972008
Rhode Island,1097379,1095610,1093734
South Carolina,5118425,5190705,5282634
South Dakota,886667,895376,909824
Tennessee,6910840,6975218,7051339
Texas,29145505,29527941,30029572
Utah,3271616,3337975,3380800
Vermont,643077,645570,647064
Virginia,8631393,8642274,8683619
Washington,7705281,7738692,7785786
West Virginia,1793716,1782959,1775156
Wisconsin,5893718,5895908,5892539
Wyoming,576851,578803,581381
